cuisine,precision,recall,f1_score,support
South Indian,0.10091743119266056,0.21153846153846154,0.13664596273291926,52
Chinese,0.18548387096774194,0.13450292397660818,0.15593220338983052,171
Italian,0.13402061855670103,0.2765957446808511,0.18055555555555555,47
Street Food,0.15384615384615385,0.3829787234042553,0.21951219512195122,47
Other,0.6021505376344086,0.13559322033898305,0.22134387351778656,413
Bakery,0.1875,0.2903225806451613,0.22784810126582278,124
Fast Food,0.19402985074626866,0.28888888888888886,0.23214285714285715,135
Continental,0.15897435897435896,0.6595744680851063,0.256198347107438,47
Mithai,0.18181818181818182,0.4897959183673469,0.26519337016574585,49
Cafe,0.25888324873096447,0.4146341463414634,0.31875,123
Pizza,0.24242424242424243,0.5217391304347826,0.3310344827586207,46
North Indian,0.6150627615062761,0.24540901502504173,0.35083532219570407,599
American,0.30701754385964913,0.625,0.4117647058823529,56
